text,label
Thanks for the quick response yesterday,ham
Meeting scheduled for tomorrow at 10am,ham
Great work on the presentation yesterday,ham
Can we reschedule our call this week,ham
Make $$$ working from home easily,spam
Your account has been compromised click,spam
The new feature is working perfectly now,ham
Let me know if you need any help,ham
Free gift card waiting for you,spam
Win a free iPhone now click here,spam
Free offer limited time click now,spam
Please review the attached report file,ham
Earn money fast from home today,spam
Investment opportunity guaranteed returns now,spam
Urgent response needed wire money,spam
Team lunch is on Thursday at noon,ham
Congratulations you won a prize,spam
Buy cheap medicine online discount,spam
The quarterly results look very promising,ham
You have been selected for cash reward,spam
Please find the invoice attached below,ham
See you at the conference next month,ham
Happy birthday hope you have great day,ham
Can you share your availability this week,ham
Looking forward to our discussion today,ham
Hot singles in your area tonight,spam
Special discount sale 90 percent off,spam
Act now before offer expires today,spam
The project deadline is next Friday,ham
Claim your lottery winning immediately,spam
